osm_id,voltage,dist_to_vegetation_m,vegetation_risk
77690265,unknown,0.0,1.0
77694907,unknown,271.1,0.096
77694912,unknown,378.0,0.0
77697805,unknown,61.8,0.691
77697806,unknown,153.6,0.488
77697818,unknown,38.4,0.808
77697824,unknown,95.7,0.522
77708764,unknown,0.0,1.0
78088427,unknown,0.0,1.0
78088430,unknown,0.0,1.0
78088431,unknown,0.0,1.0
78368552,unknown,606.5,0.0
78373265,unknown,99.2,0.504
78441540,unknown,0.0,1.0
78441542,unknown,12.0,0.94
78441543,unknown,18.1,0.91
78441544,unknown,155.1,0.483
78441548,unknown,287.0,0.043
78441551,unknown,304.6,0.0
78441556,unknown,49.7,0.751
78441557,unknown,0.0,1.0
78441568,unknown,0.0,1.0
78441571,unknown,0.0,1.0
78450717,unknown,0.0,1.0
79211718,unknown,0.0,1.0
79211719,unknown,0.0,1.0
79211720,unknown,0.0,1.0
79211721,unknown,16.1,0.919
79430811,unknown,97.2,0.514
80285952,unknown,0.0,1.0
81043182,unknown,0.0,1.0
81043185,unknown,0.0,1.0
81043189,unknown,106.5,0.645
81043190,unknown,166.9,0.444
81043192,unknown,152.0,0.493
81043194,unknown,106.4,0.645
